Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss
"Scientific, architectural, and engineering services",,14825.54936094663,14797.334512165922,28.21484878070869,0.5904098994586233,8753.151107615358,8736.4927815835,16.658326031858476,10.82770960835677,5.830616423501706,12.077718083997773
Legal and accounting services,MN112,8897.875241021025,8883.4523135684,14.422927452625022,0.7258646014154093,6458.652665267765,6448.183572781123,10.469092486643026,7.373160174017728,3.095932312625298,7.772745693045288
"Advertising, market research, and management services",,12204.510130244988,12175.82099095401,28.689139290977433,0.5159813169704185,6297.2992099826215,6282.496150108516,14.803059874106316,7.776862149921342,7.026197724184973,11.09777364222245
Veterinary and other professional services,MN114,1364.3277233589538,1361.0305123474925,3.2972110114614597,0.7299088649544325,995.834899982799,993.4282364359079,2.40666354689109,1.9146523642076727,0.4920111826834177,2.060270389408906
Computer system design and related services,MN115,12779.21291760452,12763.008553052015,16.20436455250382,0.666937302661254,8522.933793401011,8512.126498215026,10.807295185986536,7.087695560943631,3.719599625042905,7.750236297662672
Travel agency and tour arrangement services,MN211,1495.0088659395226,1491.8737236953766,3.135142244145863,0.5178165276724791,774.1402998003745,772.5168713297514,1.6234284706229145,1.2347379006194115,0.3886905700035032,1.4975272005104845
Employment and other administrative services,MN212,8027.111826146348,8000.47722617345,26.634599972898066,0.46352941176470586,3720.8024229431303,3708.456502485105,12.345920458025692,8.61676920452231,3.7291512535033813,14.332406740163172
"Building cleaning, pest control, and other support services",,4574.225541241587,4559.002320838328,15.223220403259173,0.5121776504297995,2342.8160902490936,2335.0190969909777,7.7969932581162675,5.189870613279474,2.6071226448367932,7.959784002495575
Local government administration services,,2985.7457483619146,2975.5937987866473,10.151949575267006,0.635546875,1897.581379915951,1891.1293400882325,6.452039827718521,4.490804620882362,1.9612352068361594,5.629895091222586
Central government administration services,,11508.040399850845,11481.985117157941,26.055282692903447,0.5046150824823252,5807.130755580664,5793.9828669554845,13.147888625179775,7.575993108587389,5.5718955165923845,11.87139587263184
Defence,OO212,2495.848815324654,2490.6423038433727,5.206511481281244,0.6547376982513217,1634.1263085289518,1630.7174091857787,3.4088993431731605,1.9466205380392718,1.4622788051338886,2.3689856809529246
"Public order, safety, and regulatory services",,9128.642058697875,9108.18902097765,20.453037720224216,0.6507676818525044,5940.62523100009,5927.315055056058,13.310175944032146,8.864195692272864,4.4459802517592815,10.751219995459453
Preschool education,PP111,2141.1371237873086,2132.0410430719603,9.096080715348178,0.724194429273621,1550.5995773577124,1544.012246375434,6.587330982278363,5.787218996040737,0.8001119862376262,6.040122796280382
School education,PP112,10123.229545541244,10092.28332098073,30.946224560512004,0.7792389153962528,7888.414411374859,7864.299908912718,24.11450246214225,19.810965783190365,4.303536678951886,20.228237449402286
Tertiary education,PP113,7986.2277777491445,7968.498913696169,17.728864052974625,0.7140575079872205,5702.625905197871,5689.96647671276,12.659428485111276,8.308654593306954,4.350773891804321,9.222668328248538
"Adult, community, and other education",,2080.381188668415,2074.4472979286456,5.933890739768904,0.5510534846029174,1146.4013033180893,1143.1314121486866,3.2698911694026376,2.234713522533001,1.0351776468696368,3.1967005823354726
Hospitals,QQ111,14321.436233123395,14288.92560918044,32.510623942956606,0.6977594523105648,9992.917502324859,9970.232907168147,22.684595156712135,15.839060668047338,6.8455344886647955,18.079253726594157
Medical and other health care services,QQ112,12747.391709558342,12714.272972802073,33.11873675626744,0.5510097945739794,7023.93768723779,7005.688938901169,18.248748336620622,13.414370643364814,4.834377693255809,16.742946390437858
Residential care services and social assistance,QQ113,7609.077747744575,7578.794463675276,30.283284069298595,0.6331468319975805,4817.663470407762,4798.489705036804,19.173765370959202,16.129690859792007,3.0440745111671985,18.964447164544033
Heritage and artistic activities,RS111,1948.1724099604965,1942.9429324824266,5.229477478069746,0.5658734764944864,1102.4190944349878,1099.459871834223,2.959222600764946,2.169308353569282,0.7899142471956639,2.800165121509817
Sport and recreation services,,3871.464742437629,3857.3335080929414,14.131234344687607,0.3927540036755054,1520.533277680938,1514.983178815185,5.550098865752864,3.5709231699332795,1.979175695819585,6.782400717513392
Gambling activities,RS113,2240.770909548943,2238.132492026975,2.638417521968148,0.6342710997442456,1421.2562290745216,1419.5827570912782,1.6734719832432243,0.6199280097647188,1.0535439734785055,0.7782469036348748
Repair and maintenance,RS211,5121.897803333234,5100.64426401377,21.253539319463247,0.534588620548506,2738.1082812743366,2726.746381007771,11.361900266565291,4.132634684495472,7.229265582069819,6.135466449284771
Personal services; domestic household staff,,3706.6053344975703,3698.7244356151714,7.880898882398723,0.6704791344667697,2485.201536483842,2479.917558222351,5.283978261490828,3.8415739861531097,1.4424042753377189,4.550959232514315
"Religious services; civil, professional, and other interest groups",,3302.618830165394,3291.5277652979844,11.091064867409017,0.4216342933690556,1392.4973567241227,1387.8209834260424,4.676373298080359,3.0273296042995006,1.6490436937808588,5.613739174976379
