Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss,GDP Propagation Difference
Other manufacturing,CC912,3594.3500567809133,3577.1596063875263,17.190450393387266,0.3849056603773585,1383.4856822326535,1376.8689805718027,6.616701660850947,1.2514736552945334,5.365228005556414,3.2462397361416784,3.370461924709269
Electricity generation and on-selling,DD111,11024.39744454283,11003.365261946768,21.032182596061546,0.26820146276595747,2956.7595207396703,2951.118658602246,5.64086213742442,2.0916494968690174,3.5492126405554028,4.321729856449567,1.319132280974853
Electricity transmission and distribution,DD112,7683.091913514073,7663.558963356553,19.53295015751948,0.6158536585365854,4731.660263810496,4719.630824993975,12.029438816521141,2.8183023533089426,9.211136463212199,4.252672449866091,7.776766366655051
Gas and water supply,,5543.202336279218,5527.726092236993,15.4762440422239,0.414780292942743,2299.211088882791,2292.791847845304,6.41924103748701,1.2652514130309318,5.153989624456078,2.5430277135465427,3.8762133239404677
Sewerage and drainage services,DD122,4275.883775993117,4256.548713547144,19.33506244597212,0.4909090909090909,2099.0702173057116,2089.578459377689,9.491757928022677,1.1614691136928834,8.330288814329792,2.1638890107353013,7.327868917287375
"Waste collection, treatment, and disposal services",,4934.456122653308,4909.311440446683,25.144682206624967,0.4132505175983437,2039.1665467527955,2028.775493816062,10.39105293673363,3.856835515823892,6.534217420909739,6.83325294921489,3.55779998751874
Residential building construction,EE112,16053.724855757862,15954.949339707668,98.77551605019472,0.21897810218978103,3515.414201990773,3493.784526943285,21.629675047487897,9.260426865913415,12.369248181574482,35.43854590736532,-13.80887085987742
Non-residential building construction,EE113,13136.261819290208,13054.912405644222,81.34941364598589,0.14383775351014041,1889.4903896077335,1877.7892726995278,11.701116908205773,1.662559113786468,10.038557794419305,10.756164998754915,0.9449519094508574
Heavy and civil engineering construction,EE121,13536.049676361974,13456.052214001546,79.99746236042839,0.33009975920192636,4468.246738712401,4441.839595650458,26.40714306194258,13.89493767725695,12.512205384685629,35.74736340791704,-9.340220345974462
Construction services,EE131,20191.022875912295,20057.322763633623,133.70011227867303,0.41023945426701935,8283.154205707164,8228.305144610522,54.84906109664204,49.004347234980955,5.844713861661088,103.66049327786092,-48.81143218121888
Basic material wholesaling,FF111,8166.626076754618,8127.201202550065,39.42487420455359,0.3844652070840887,3139.7835857777836,3124.6260933524654,15.157492425317841,7.786836363785002,7.370656061532839,19.70156679375472,-4.544074368436878
Machinery and equipment wholesaling,FF112,8892.560231079337,8855.02633550175,37.533895577586925,0.560219957081545,4981.7897110003205,4960.762473630742,21.02723736957894,12.375527357853972,8.65171001172497,21.915635239326093,-0.888397869747152
"Motor vehicle wholesaling, including parts",,4699.419589956939,4678.772189772531,20.64740018440791,0.5709812108559499,2683.2802877937843,2671.4910102354643,11.78927755832059,3.598749457178159,8.190528101142432,6.287616325449939,5.501661232870651
"Grocery, liquor, and tobacco product wholesaling",,8893.095263001058,8847.372522159469,45.72274084158851,0.37330478229835834,3319.834991113172,3302.766473297218,17.068517815953456,8.45019474949886,8.618323066454598,22.12101415198829,-5.052496336034835
Other goods and commission based wholesaling,,8600.693105780974,8566.31637928591,34.37672649506442,0.5365485023358065,4614.689004956679,4596.244223840544,18.444781116134454,9.980526957764988,8.464254158369465,18.433019183534938,0.011761932599515745
"Motor vehicle retailing, including parts",,5256.059568129078,5229.576841990201,26.482726138877812,0.6439285714285714,3384.5269290488313,3367.4739450386896,17.052984010141678,9.634957574328704,7.418026435812974,14.930508447930185,2.122475562211493
Fuel retailing,GH112,4254.003123284858,4232.353964508484,21.64915877637378,0.6104725415070242,2596.952098250526,2583.735881270824,13.216216979702,3.554093307576901,9.6621236721251,5.821213230270963,7.395003749431037
Supermarket and grocery stores,GH121,7241.6822941261125,7181.3002422278505,60.382051898262304,0.6678408619975135,4836.291345621314,4795.9657440324,40.32560158891409,32.43869751626877,7.886904072645321,48.46680566725025,-8.141204078336159
Specialised food retailing,GH122,4538.299137089356,4514.693618800365,23.60551828899151,0.5872420262664165,2665.0799810674835,2651.217828676387,13.86215239109633,5.1963834996358225,8.665768891460507,8.847822282966197,5.0143301081301335
"Furniture, electrical, and hardware retailing",,7431.100458015154,7386.361351905448,44.739106109705745,0.6553147574819401,4869.7097944681345,4840.391597997894,29.318196470240604,20.995688523115234,8.322507947125372,31.99745121494108,-2.6792547447004758
"Recreational, clothing, footwear, and personal accessory retailing",,6745.869632669939,6703.262992321521,42.6066403484186,0.533974358974359,3602.121412829525,3579.3705593614277,22.750853468097883,13.441684187284697,9.309169280813187,25.13610523215986,-2.3852517640619766
Department stores,GH133,5753.961240367419,5725.213539255783,28.747701111635784,0.5792007703418391,3332.698782937893,3316.048092308477,16.650690629416392,7.62189035605981,9.028800273356584,13.156516303197977,3.494174326218415
Pharmaceutical and other store based retailing,GH134,6479.472935401279,6441.417189944663,38.05574545661648,0.5206696276050564,3373.6647603524257,3353.8502895372962,19.81447081512932,11.037106452188477,8.777364362940842,21.105861937289095,-1.2913911221597765
Non-store and commission based retailing,GH135,5981.77606440332,5959.314022468026,22.46204193529342,0.46889400921658986,2804.8189610739064,2794.286644175676,10.532316898230901,0.9728122168205127,9.559504681410388,2.0743569346999338,8.457959963530968
Accommodation,GH211,6700.231110954624,6660.640317379569,39.59079357505483,0.5093226339391078,3412.579357432163,3392.4148701687764,20.164487263386434,12.01997982970723,8.144507433679205,23.54849482462874,-3.3840075612423064
Food and beverage services,GH212,10506.312159158771,10383.832489381184,122.47966977758736,0.45179268066134126,4746.674934251186,4691.3395159158545,55.33541833533206,47.364895435259534,7.97052290007252,104.58206863441826,-49.246650299086205
Road transport,II111,8728.1245518736,8674.484670043821,53.63988182977771,0.4003602076491154,3494.3937579754565,3472.9184837478124,21.475274227643812,15.955462308275278,5.519811919368536,35.54758271518663,-14.072308487542816
Rail transport,II121,4552.825305897448,4531.677183071744,21.148122825703478,0.17559523809523808,799.4544435950876,795.7409339322408,3.713509662846741,0.27378220060985425,3.4397274622368865,1.5507605126558959,2.1627491501908453
Water transport,II122,4747.467659848234,4729.982023518032,17.485636330201633,0.3871428571428571,1837.9481940269588,1831.1787548191237,6.769439207835202,0.5655723297483672,6.203866878086835,1.4303315997226764,5.339107608112525
Air and space transport,II123,6334.896459465397,6308.155366525148,26.741092940249793,0.3012610929472209,1908.4578310860256,1900.401780200243,8.056050885782867,2.9377286368517344,5.118322248931133,9.62694867667243,-1.570897790889564
Other transport,II125,3996.669785891083,3978.5186145221546,18.151171368928026,0.504524886877828,2016.4193716147317,2007.2616539331234,9.157717681608483,1.337233259596219,7.820484422012265,2.63072195129804,6.526995730310443
Postal and courier services,,5326.791466736431,5299.258695608842,27.532771127590053,0.41483630335681726,2209.74648081358,2198.324887817841,11.421592995738767,4.868267260178394,6.553325735560374,9.387477082897309,2.0341159128414574
Transport support services,II132,9142.455764102364,9114.305669968886,28.15009413347877,0.7030643072939146,6427.734328753885,6407.943002321673,19.791326432212742,13.794793667799262,5.9965327644134785,18.532103631296916,1.2592228009158255
Warehousing and storage services,II133,4873.22121557907,4851.670641528505,21.550574050565267,0.48119723714504986,2344.98058493329,2334.6105082412682,10.370076692021811,2.730887960519411,7.639188731502401,5.402926215416187,4.9671504766056245
Publishing (except internet and music publishing),JJ111,3675.1686877658753,3657.832701104276,17.335986661599243,0.5789889415481833,2127.8820285405895,2117.8446839726967,10.037344567892767,2.5940997053501342,7.443244862542634,4.421779568645927,5.61556499924684
Motion picture and sound recording activities,JJ112,5676.810256905273,5655.755282844916,21.05497406035597,0.30318895763921944,1721.1461845067392,1714.7625488682588,6.38363563848013,1.1237706271747847,5.259865011305346,2.7725405289102767,3.6110951095698534
Broadcasting and internet publishing,JJ113,5533.922387560929,5511.70226049457,22.220127066358735,0.3275552898983861,1812.6655519326891,1805.387231769889,7.278320162800112,0.8898683371214758,6.388451825678636,2.6862305270121802,4.592089635787932
Telecommunications services,JJ121,8542.483558059606,8523.67338404995,18.810174009657246,0.5545743066096316,4737.441895935085,4727.010256726473,10.431639208612182,4.029522194883013,6.4021170137291685,6.4995021446677095,3.932137063944473
