Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Specialised food retailing,GH122,1326.535,1324.084542662014,2.450457337986089,0.5872420262664165,778.997101313321,777.5580897808826,1.4390115324383599,1.3635995362343039,0.07541199620405617
"Furniture, electrical, and hardware retailing",,6075.455,6064.32924739219,11.125752607809103,0.6553147574819401,3981.3353199174403,3974.0444500454496,7.290869871990485,6.745475733507913,0.5453941384825722
"Recreational, clothing, footwear, and personal accessory retailing",,3921.8750000000005,3914.536185359183,7.338814640817086,0.533974358974359,2094.1806891025644,2090.2619502591024,3.9187388434619437,3.6388594678166446,0.27987937564529913
Department stores,GH133,2592.829999999999,2587.857044191037,4.972955808962108,0.5792007703418391,1501.7691333654304,1498.8887935300036,2.8803398354267764,2.7155126816682906,0.16482715375848586
Pharmaceutical and other store based retailing,GH134,3664.599999999999,3658.7695063240535,5.8304936759457835,0.5206696276050564,1908.0459173214892,1905.0101563504809,3.0357609710083273,2.7078217763684167,0.32793919463991095
Non-store and commission based retailing,GH135,1084.3199999999997,1082.549845928576,1.770154071423749,0.46889400921658986,508.4311520737326,507.60113743425165,0.8300146394809513,0.757400337949636,0.07261430153131528
Accommodation,GH211,5318.689999999999,5313.767201249597,4.922798750401293,0.5093226339391078,2708.9291999055927,2706.421907079686,2.5072928259065352,2.2703609287413777,0.23693189716515753
Food and beverage services,GH212,13513.839999999995,13491.60207207184,22.237927928152946,0.45179268066134126,6105.4539996284575,6095.407066557443,10.046933071013926,9.602640985864511,0.44429208514941493
Road transport,II111,11838.415,11829.222891483658,9.19210851634437,0.4003602076491154,4739.630287636403,4735.950133162066,3.6801544743368337,0.9910860873693355,2.6890683869674983
Rail transport,II121,838.3399999999999,837.6906298217543,0.6493701782455752,0.17559523809523808,147.20851190476188,147.0944855937009,0.11402631106097898,0.04537452105648954,0.06865179000448943
Water transport,II122,870.9699999999999,869.9823082818315,0.9876917181684285,0.3871428571428571,337.1898142857142,336.8074364919662,0.382377793748063,0.24948253880315835,0.13289525494490467
Air and space transport,II123,8062.119999999999,8054.5117414402985,7.608258559700616,0.3012610929472209,2428.8030826716486,2426.511010382528,2.2920722891204566,1.9490650746385216,0.34300721448193494
Other transport,II125,1109.42,1108.3358809517367,1.084119048263293,0.504524886877828,559.73,559.1830349598129,0.5469650401871364,0.27909252246420985,0.26787251772292664
Postal and courier services,,3030.8249999999985,3028.280991080559,2.5440089194395474,0.41483630335681726,1257.296239121425,1256.240891865578,1.055347255847073,0.1287091743912461,0.9266380814558268
Transport support services,II132,8720.995,8715.536702722231,5.458297277769943,0.7030643072939146,6131.420308588693,6127.582774594093,3.837533994599584,0.8935031349671197,2.9440308596324645
Warehousing and storage services,II133,1644.05,1642.7668120709338,1.283187929066122,0.48119723714504986,791.1123177283191,790.4948512421146,0.6174664862044961,0.04427253055164903,0.573193955652847
Publishing (except internet and music publishing),JJ111,1591.34,1589.7293786238897,1.6106213761100887,0.5789889415481833,921.3682622432858,920.435730277497,0.9325319657888588,0.28612254757630085,0.6464094182125579
Motion picture and sound recording activities,JJ112,2629.225,2627.571869996227,1.6531300037725098,0.30318895763921944,797.1519871489767,796.6507763862908,0.5012107626859061,0.3246595250304395,0.1765512376554667
Broadcasting and internet publishing,JJ113,2089.575,2086.6374210314034,2.9375789685965397,0.3275552898983861,684.4513448894202,683.4891253587621,0.9622195306580417,0.623087647144783,0.3391318835132587
