Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
Sewerage and drainage services,DD122,3859.841216371368,3851.3844992683844,8.456717102983475,0.9304497801142588,7.5262673228692165
"Waste collection, treatment, and disposal services",,4444.292161099032,4434.885747326656,9.406413772375345,2.038316665672596,7.3680971067027485
Residential building construction,EE112,14120.621172656422,14089.540699257217,31.080473399204493,10.04998565045571,21.030487748748783
Non-residential building construction,EE113,12003.492711963103,11977.29109500172,26.20161696138348,2.843863700634529,23.35775326074895
Heavy and civil engineering construction,EE121,11869.340361403289,11844.247972491365,25.09238891192399,9.74407728787719,15.3483116240468
Construction services,EE131,17150.003441984456,17111.98256995326,38.02087203119663,26.365617127230507,11.655254903966124
Basic material wholesaling,FF111,7216.186929664125,7200.877720087588,15.309209576536887,5.694737815781991,9.614471760754896
Machinery and equipment wholesaling,FF112,7505.328874097304,7489.2092428029955,16.11963129430842,8.951847045281283,7.167784249027136
"Motor vehicle wholesaling, including parts",,4191.536695977095,4182.489916340426,9.046779636669271,2.352716982089987,6.694062654579284
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7672.410476000569,15.955076133454895,5.077752399018664,10.877323734436231
Other goods and commission based wholesaling,,7307.3703141783735,7290.92695477142,16.443359406953277,9.114984025863123,7.328375381090154
"Motor vehicle retailing, including parts",,4578.207995881194,4568.221354145497,9.986641735697049,3.9652774747273725,6.021364260969676
Fuel retailing,GH112,3927.3612879152206,3918.941092942395,8.420194972825811,0.9745077270530373,7.445687245772774
Supermarket and grocery stores,GH121,5999.37751014531,5986.1127894904985,13.264720654811754,7.254467352993288,6.010253301818466
Specialised food retailing,GH122,3975.1323981283604,3966.541625542068,8.590772586292587,1.368898402781383,7.221874183511204
"Furniture, electrical, and hardware retailing",,6154.958785869658,6141.51550219526,13.443283674398117,6.9922202274087795,6.4510634469893375
"Recreational, clothing, footwear, and personal accessory retailing",,5733.909376742771,5721.5901887405125,12.31918800225867,3.493891641007849,8.825296361250821
Department stores,GH133,4880.405366772416,4869.811985048084,10.593381724331266,2.629036521152784,7.964345203178482
Pharmaceutical and other store based retailing,GH134,5624.490463507871,5612.142992310737,12.347471197133927,3.4732049775175255,8.874266219616402
Non-store and commission based retailing,GH135,5198.519134694494,5187.246647502056,11.272487192438348,0.9211875183814868,10.351299674056861
Accommodation,GH211,5918.1193569413435,5906.28581923428,11.833537707063442,3.735641014884095,8.097896692179347
Food and beverage services,GH212,9064.459755746795,9044.923452364284,19.536303382510596,10.562897820158469,8.973405562352127
Road transport,II111,7758.779228168099,7742.135493978574,16.643734189524366,8.117296667823211,8.526437521701155
Rail transport,II121,5268.496368348418,5257.2484300437845,11.247938304633863,0.2745980647438415,10.973340239890021
Water transport,II122,4396.242067661012,4387.018494520208,9.223573140803637,0.5015124143835692,8.722060726420068
Air and space transport,II123,6196.046711047718,6183.28252065611,12.764190391608281,3.710154935371065,9.054035456237216
Other transport,II125,3754.9427994719454,3747.245668042402,7.697131429543333,0.629550904505777,7.067580525037556
Postal and courier services,,4712.496582964915,4702.350551094811,10.146031870104707,2.1960634279646456,7.949968442140062
Transport support services,II132,7471.542269370886,7455.837558871965,15.704710498921486,10.095471599175653,5.609238899745833
Warehousing and storage services,II133,4396.656265151765,4387.343274320134,9.312990831631396,1.221840976271892,8.091149855359504
Publishing (except internet and music publishing),JJ111,3295.325584477265,3288.371683818835,6.953900658429575,1.3962839792349087,5.557616679194666
Motion picture and sound recording activities,JJ112,5235.808881374975,5224.453548380644,11.355332994330638,1.4832987408329927,9.872034253497645
Broadcasting and internet publishing,JJ113,5399.001044298118,5387.489534126018,11.511510172100316,1.1142742493427704,10.397235922757545
Telecommunications services,JJ121,7302.733412754614,7287.578923979762,15.154488774851416,8.12779226064913,7.0266965142022855
"Internet service providers, web search portals and data processing services",JJ122,4210.801304597497,4201.646047739312,9.155256858184657,1.8554615500632963,7.299795308121361
Library and other information services,JJ123,2214.8538346114183,2210.117335659049,4.736498952369402,0.5617507697413089,4.174748182628093
Banking and financing; financial asset investing,,12829.581157862749,12802.287086837385,27.294071025364246,20.00259898888362,7.291472036480627
Life insurance,KK121,5444.723043644208,5433.231732924807,11.491310719400644,1.1174628506490762,10.373847868751568
Health and general insurance,KK122,6481.22166447816,6467.786839268631,13.434825209528753,6.0616652644762326,7.373159945052521
Superannuation and individual pension services,,8929.581063353337,8910.566143595584,19.014919757752068,0.048219178082192116,18.966700579669876
Auxiliary finance and insurance services,KK131,7070.448335106992,7055.535333446123,14.913001660868758,7.917527747978056,6.995473912890702
Rental and hiring services (except real estate),LL111,6060.54559018728,6047.747619334057,12.797970853222978,6.288572368620407,6.5093984846025705
Non-financial asset leasing,LL112,4801.268180182722,4790.800700716327,10.467479466395162,1.3140137065347517,9.15346575986041
Residential property operation,LL121,12602.423571832418,12574.198654800166,28.22491703225205,22.678742289514048,5.546174742738003
Non-residential property operation,LL122,12379.974769893768,12352.414271291127,27.56049860264102,17.484157454137858,10.076341148503161
Real estate services,LL123,5971.361403381427,5958.713398488772,12.64800489265508,4.719664073330023,7.928340819325058
Owner-occupied property operation,,26236.89849603482,26231.609350778705,5.289145256116171,0.0,5.289145256116171
"Scientific, architectural, and engineering services",,11472.922034055773,11448.855660876225,24.066373179548464,15.888283638070789,8.178089541477675
Legal and accounting services,MN112,7521.192159061272,7505.236379359169,15.955779702102518,11.466404640221299,4.489375061881219
